R_accel_x,R_accel_y,R_accel_z,R_gyro_x,R_gyro_y,R_gyro_z,R_temperature,R_flex_raw_1,R_flex_raw_2,R_flex_raw_3,R_flex_raw_4,R_flex_raw_5,L_accel_x,L_accel_y,L_accel_z,L_gyro_x,L_gyro_y,L_gyro_z,L_temperature,L_flex_raw_1,L_flex_raw_2,L_flex_raw_3,L_flex_raw_4,L_flex_raw_5,Result
9.41,-1.7,-3.05,0,0.05,0.04,28.13,587,789,1965,9,19,-4.28,8.62,0.96,-0.02,-0.09,0.03,27.27,800,575,1960,663,715,number 2
-6.12,-2.75,-5.96,-0.92,-0.53,-0.71,28.12,605,774,1978,11,13,-4.44,8.67,0.57,-0.08,-0.02,0.02,27.25,808,571,1959,663,717,number 2
-6.61,-0.93,-5.68,-0.18,0.2,0.14,28.04,659,785,1991,0,12,-4.32,8.68,1.22,-0.11,0.04,0.01,27.21,819,573,1951,660,725,number 2
-6.71,-2.34,-6.16,-0.11,-0.11,0.29,27.98,666,777,2003,25,0,-4.32,8.78,1.03,-0.04,-0.07,0,27.2,804,582,1957,665,725,number 2
1.31,-2.41,-6.97,0.13,-3.42,-0.05,27.39,623,759,1289,1267,2,-4.33,8.66,0.99,-0.02,-0.02,0.02,27.24,825,573,1960,665,721,number 2
10.21,-3.03,-3.6,0.05,-0.83,0.77,27.73,559,757,1945,0,0,-4.38,8.64,1.09,0,-0.09,0.01,27.19,805,587,1958,665,725,number 2
9.53,-1.53,-4.12,0.57,-0.21,0.05,27.72,611,799,1967,0,4,-4.28,8.68,1.19,-0.1,0.02,0.04,27.16,804,583,1956,663,725,number 2
7.62,-0.71,-1,-0.02,-0.01,-0.03,27.08,618,767,1952,8,5,-4.61,8.52,1.17,-0.1,0.01,0.04,27.14,811,572,1960,663,729,number 2
10.46,-0.71,-5.4,1.08,1.08,0.26,27.34,593,775,1955,0,0,-4.58,8.63,1.18,0,-0.07,0.03,27.1,813,583,1958,666,727,number 2
10.11,-1.04,-2.43,0.11,-0.09,0.01,27.44,587,761,1949,8,0,-4.32,8.57,1.32,-0.05,-0.02,0.03,27.16,812,571,1957,667,728,number 2
7.28,-0.71,-1.56,-0.02,0.02,-0.02,26.97,569,761,1955,0,0,-4.2,8.83,0.64,-0.2,0.13,0.04,27.1,803,574,1960,667,727,number 2
9.65,1.01,-4.06,2.41,1.72,0.4,27.4,649,866,2012,90,98,-4.27,8.51,0.93,-0.08,-0.02,0.03,27.09,799,579,1959,653,727,number 2
7.49,-1.64,-3.17,-0.48,1.63,-0.25,26.87,589,775,1950,0,8,-4.78,8.24,0.79,-0.1,0.01,0.06,27.07,805,581,1958,664,728,number 2
9.4,-1.85,-2.79,-0.01,-0.08,-0.07,27.28,585,773,1959,0,1,-4.52,8.6,0.89,-0.06,-0.02,0.03,27.06,812,575,1962,668,729,number 2
9.54,-1.36,-2.74,-0.03,-0.01,-0.02,27.36,583,761,1958,0,0,-4.43,8.55,0.72,-0.02,-0.12,-0.01,27.04,795,595,1951,661,730,number 2
9.71,-1.02,-2.75,-0.38,0.03,0.05,27.43,580,777,1949,0,0,-4.81,8.2,1.06,-0.05,0.04,0.09,27.04,809,587,1957,665,727,number 2
9.67,-1.15,-2.82,0.11,-0.02,-0.01,27.46,573,763,1961,0,0,-4.6,8.54,0.1,-0.07,0.01,0.04,27.02,810,571,1957,663,728,number 2
9.69,-0.95,-2.51,0,0,-0.02,27.5,573,778,1955,7,0,-4.4,8.65,0.83,-0.09,0,0.03,27,812,573,1958,678,727,number 2
9.67,-1.33,-2.96,-0.14,0.01,0,27.56,585,775,1957,0,0,-4.32,8.88,1.11,-0.07,-0.07,0.01,27.02,841,571,1951,664,725,number 2
-7.6,-4.23,-0.47,0.01,-0.23,0.12,27.59,890,921,2087,209,199,-4.71,7.91,0.6,0.12,-0.13,0.17,26.98,807,583,1961,671,733,number 2
9.46,-1.97,-2.22,-0.2,-0.04,0.06,27.61,635,783,1967,0,11,-4.66,8.53,0.83,-0.05,-0.05,0.03,26.96,809,581,1957,661,730,number 2
-7.55,-5.75,-2.47,0.03,0.16,0.11,27.62,797,854,2039,83,95,-4.27,8.71,0.86,-0.05,0.01,0.03,26.97,793,586,1959,667,731,number 2
9.45,-1.01,-1.01,-0.42,-0.17,0.05,27.63,652,807,1965,31,26,-4.58,8.54,0.86,-0.12,0.03,-0.01,26.95,799,567,1963,649,732,number 2
9.91,-1.38,-1.18,0.22,0.08,-0.14,27.66,667,781,1981,4,0,-4.76,8.21,0.95,-0.08,-0.04,0.11,26.96,812,571,1967,661,729,number 2
3.4,-8.83,-7.26,-0.27,1.98,-1.65,27.66,618,778,1957,0,0,-4.41,8.85,1.12,-0.1,0.05,0.01,26.94,797,571,1959,660,732,number 2
1.7,-6.83,-7.48,1.12,-2.71,1.27,27.67,660,765,1965,0,0,-4.6,8.6,1.05,-0.1,-0.04,0,26.94,797,568,1949,663,731,number 2
10.27,-3.67,-6.16,0.62,-1.83,1.1,27.68,920,969,2092,267,265,-4.68,8.56,1.02,-0.09,0.02,0.06,26.93,809,580,1951,661,735,rest posture
9.26,-5.14,-4.62,-1.19,1.25,-0.82,27.69,755,917,2001,125,59,-4.58,8.38,1.25,-0.17,0.01,-0.05,26.88,808,571,1951,657,725,rest posture
9.6,-1.63,-2.65,-0.03,-0.01,-0.03,27.72,675,823,1989,103,76,-4.76,8.43,1.23,-0.08,-0.03,0.03,26.9,803,573,1957,661,731,rest posture
9.7,-1.51,-2.52,-0.06,-0.13,0.07,27.73,672,811,1979,37,59,-4.54,8.59,1.1,-0.02,-0.09,0.04,26.89,804,582,1961,666,731,rest posture
10.49,-2.25,-4.71,0.39,-0.91,0.58,27.75,683,804,1990,27,38,-4.48,8.72,0.86,-0.04,-0.1,0.02,26.9,799,583,1957,663,731,rest posture
10.08,-2.38,-0.94,0.56,-0.24,0.04,27.78,790,859,2020,109,85,-4.54,8.54,1.24,-0.08,0.01,0.03,26.88,804,587,1959,656,734,rest posture
9.59,-2.25,-1.81,0.08,-0.06,0.01,27.78,651,791,1979,9,29,-4.52,8.57,1.13,-0.09,-0.04,0,26.93,809,589,1955,665,733,rest posture
-7.38,-5.98,-2.44,-0.1,0.16,-0.09,27.8,727,777,1991,11,0,-4.74,8.43,1.05,-0.1,-0.02,0.02,26.95,805,581,1956,660,734,rest posture
9.62,-1.93,-1.87,0,-0.03,0,27.83,659,779,1964,27,3,-4.62,8.59,0.37,-0.17,-0.08,0.01,26.97,807,581,1950,653,731,rest posture
9.96,-2.01,-2.18,0.11,0,0.03,27.8,618,760,1963,0,0,-4.61,8.6,1,-0.08,-0.06,-0.02,26.96,761,573,1957,664,731,rest posture
5.97,-8.14,-3.48,-0.34,1.7,-1.89,27.8,713,797,1977,17,30,-4.71,8.54,1.3,-0.06,-0.08,0.03,26.99,799,575,1959,669,732,number 3
9.92,-1.95,-1.18,0.08,-0.04,0.03,27.77,595,787,1983,30,16,-4.97,7.86,1.05,-0.06,0.01,0.1,27.01,791,574,1959,665,732,number 3
9.61,-6.49,-2.63,0.3,0.62,-1.61,27.79,815,909,2043,152,164,-4.72,8.51,1.24,-0.05,-0.03,0.02,27.01,797,574,1951,645,725,number 3
9.23,-2.83,-1.7,-0.07,0.12,-0.07,27.77,636,787,1960,0,5,-4.49,8.3,1.01,-0.03,0.04,0.02,27,793,572,1955,661,737,number 3
-3.45,-4.99,-3.24,-0.06,-2.42,2.58,27.77,657,775,1975,12,0,-4.59,8.71,0.86,-0.09,-0.03,0.09,27.03,795,562,1957,655,732,number 3
-4.98,-6.66,-3.02,-0.21,1.31,-1.15,27.76,709,787,1973,17,13,-4.65,8.52,1.22,-0.07,-0.01,0.02,27.06,797,573,1957,666,738,number 3
9.5,-2.74,-1.01,-0.08,0,0.02,27.73,624,778,1966,3,2,-4.69,8.38,0.98,-0.08,-0.01,0.05,27.04,791,567,1951,653,731,number 3
6.98,-2.68,-0.46,-0.1,0.02,-0.02,27.29,825,889,2044,179,173,-4.51,8.23,0.88,-0.04,0.02,0.02,27.07,810,567,1941,669,728,number 3
5.37,-8.73,-3.31,-0.05,1.1,-1.67,27.59,739,807,1983,39,16,-4.64,8.07,1.33,-0.13,0.02,0.07,27.1,809,575,1961,663,729,number 3
9.75,-2.53,-0.42,-0.17,-0.08,0.07,27.63,839,974,2100,237,244,-4.72,8.4,1.36,-0.1,0.03,0.04,27.1,809,581,1957,667,741,number 3
2.81,-8.19,-5.23,0.25,1.7,-1.95,27.63,729,1116,2205,543,585,-4.67,8.41,1.31,-0.09,0.01,-0.01,27.11,793,581,1959,667,750,number 3
-6.65,-4.88,-3.39,-0.72,0.09,-0.31,27.65,735,765,1980,9,0,-4.49,8.6,0.82,-0.21,0.02,-0.03,27.13,805,568,1959,662,739,number 3
9.53,-2.72,0.39,-0.06,-0.02,0,27.67,684,815,1993,60,59,-4.59,8.52,1.13,-0.02,0.02,0.14,27.14,791,573,1952,659,746,number 3
0.96,-9.52,-5.44,0.42,1.16,-1.39,27.64,777,803,1394,1374,55,-4.46,8.51,0.74,-0.09,-0.03,0,27.12,799,573,1959,667,741,number 3
-0.56,-6.93,-6.47,-0.35,-1.76,1.36,27.6,811,915,2091,283,356,-4.53,8.66,0.85,-0.08,-0.01,0.02,27.14,791,567,1956,658,730,number 3
9.58,-3.77,0.4,0.71,-0.01,-0.47,27.61,731,859,2024,99,99,-4.42,8.66,0.98,-0.05,-0.03,0.04,27.15,788,567,1960,654,739,rest posture
9.65,-2.48,-0.02,-0.04,-0.04,-0.03,27.63,681,815,1999,58,59,-4.13,8.86,0.85,-0.23,0.18,0.07,27.15,795,566,1959,667,732,rest posture
9.51,-2.34,-0.11,0,0,-0.01,27.66,631,773,1968,3,14,-4.33,8.76,0.68,-0.08,-0.11,0.14,27.16,791,565,1951,664,742,rest posture
9.71,-2.31,-0.19,-0.02,-0.01,0.01,27.66,637,781,1973,18,13,-4.34,8.48,1.01,1.1,-0.9,-0.1,27.15,788,564,1958,669,741,rest posture
9.68,-2.36,-0.15,0,-0.01,-0.01,27.66,623,783,1970,11,1,-4.47,8.9,0.34,-0.08,-0.1,-0.02,27.16,782,559,1961,661,741,rest posture
9.81,-2.64,-0.25,0.16,-0.04,0,27.69,623,774,1965,2,39,-4.64,8.41,0.45,-0.05,0.07,0.02,27.19,780,563,1959,660,733,rest posture
9.67,-2.1,0.07,-0.11,-0.02,0.06,27.71,602,779,1967,5,0,-4.87,9.11,0.69,0,-0.23,0.02,27.18,790,569,1951,668,739,rest posture
5.22,-4.41,-3.03,0.69,1.81,-0.61,27.06,703,919,2053,176,146,-4.66,8.39,1.27,-0.05,-0.02,-0.01,27.11,799,568,1956,659,749,rest posture
-8.35,-3.8,-2.69,0.13,0.02,0.29,27.41,294,788,1981,12,1,-4.57,8.51,1.29,-0.03,-0.04,0,27.14,803,567,1951,663,739,rest posture
8.84,-3.85,2.12,-0.14,-0.08,-0.13,27.49,571,821,1983,16,39,-4.3,8.57,1.24,-0.15,-0.02,0.02,27.13,778,571,1957,657,734,rest posture
6.59,-3.38,0.65,0.11,0,-0.02,27.15,511,765,1961,0,0,-4.56,8.5,1.38,-0.02,-0.02,0.05,27.15,799,581,1961,667,741,number 4
6.66,-3.19,1.72,-0.1,0.02,0,27.12,553,813,1971,63,10,-3.56,8.46,0.19,-0.14,0.21,0.29,27.16,776,574,1955,639,740,number 4
1.66,-2.16,-9.03,-1.41,2.56,-1.15,27.46,505,788,1975,18,0,-4.57,8.51,1.35,0.05,-0.1,0.01,27.15,780,567,1959,653,735,number 4
8.54,-4.11,2.27,-0.19,-0.09,-0.3,27.48,489,764,1957,0,0,-4.47,8.59,1.2,-0.04,-0.01,0.04,27.18,794,567,1951,654,738,number 4
6.8,-4.4,-0.13,-0.4,-0.07,0.15,27.07,669,107,2059,180,163,-4.52,8.51,1.2,-0.07,-0.02,0.04,27.17,793,573,1957,652,738,number 4
6.3,-4.19,0.72,-1.37,-0.63,0.28,26.97,592,797,1980,10,23,-4.39,8.47,1.4,-0.12,0.05,0.02,27.22,781,569,1959,651,743,number 4
8.67,-4.77,0.16,-0.1,0,-0.06,27.42,664,800,1979,31,39,-4.4,8.78,1.24,-0.07,0.02,0,27.2,797,564,1950,649,744,number 4
4.25,-3.42,-3.65,-0.97,-2.52,1.34,26.96,521,94,1973,19,25,-4.45,8.55,1.6,0.01,-0.1,0.01,27.22,799,567,1948,653,747,number 4
8.21,-5.64,0.48,-0.1,0.05,-0.17,27.38,751,949,2085,221,213,-4.37,8.71,1.35,-0.06,-0.07,0.01,27.2,796,563,1996,663,744,number 4
8.34,-5.45,0.66,0.06,0.03,0.09,27.52,565,791,1977,22,20,-4.41,8.76,1.02,-0.12,0.06,0.08,27.2,795,573,1951,661,735,number 4
6.17,-3.7,1.88,-0.07,0,-0.09,27.12,581,800,1989,43,49,-4.45,8.51,0.24,0.02,-0.35,-0.19,27.19,868,657,1970,699,728,number 4
6.09,-4.24,1.21,-0.05,-0.01,-0.03,27.06,531,773,1965,7,1,-4.87,8.3,0.52,-0.09,0.02,0.07,27.22,859,599,1967,702,740,number 4
6.31,-3.96,1.4,-0.18,-0.12,-0.14,27.07,541,773,1963,0,0,-4.91,8.38,0.28,-0.02,-0.03,0.05,27.22,841,614,1973,709,741,number 4
-0.62,-1.07,-5.9,-1.93,1.06,-1.47,27.02,457,852,2023,106,156,-4.89,8.48,0.75,-0.08,-0.03,0.02,27.31,821,594,1964,686,733,number 4
-1.35,-3.18,-8.33,-0.18,-2.01,0.39,27.48,299,779,1964,2,1,-4.77,8.55,0.96,-0.04,-0.08,0,27.32,821,593,1960,682,735,number 4
8.18,-5.59,1.75,-0.08,-0.34,0.49,27.6,571,889,2043,157,140,-4.89,8.36,1.01,0,-0.08,0.04,27.31,822,597,1961,687,744,number 4
8.6,-5.97,-0.15,0.61,-0.17,-0.26,27.68,694,812,1983,73,71,-5.08,8.57,-0.83,0.21,-0.12,0.06,27.35,815,588,1962,679,740,number 4
-6.51,-1.92,-6.9,0.3,0.82,0.25,27.69,373,923,2073,219,167,-4.91,8.73,-0.36,0.06,-0.08,0.07,27.4,787,559,1955,661,727,number 4
